"proj","st_name","lat","long"
"LMN","LOWER MONUMENTAL DAM & LAKE ON SNAKE RIV",46.58,-118.35
"PRD","PRIEST RAPIDS DAM & RES ON COLUMBIA RIV",46.63,-119.87
"CHQW","CHIEF JOSEPH TAILWATER TOTAL DISSOLVED GAS",48,-119.63
"PAQW","LEFT BNK 4.8 MI ABV CONFLUENCE OF SNAKE AND COLUMBIA RIV MIL",46.22,-119.1
"RIS","ROCK ISLAND DAM & RES ON COLUMBIA R",47.33,-120.08
"WAN","WANAPUM DAM & LAKE ON COLUMBIA RIV",46.87,-119.98
"FOS","FOSTER DAM",44.42,-122.67
"LGNW","LOWER GRANITE TAILWATER (RIGHT BANK)",46.67,-117.45
"WELW","WELLS TAILWATER TOTAL DIS GAS (1.5 MI BELOW WELLS DAM)",47.95,-119.87
"LWG","LOWER GRANITE DAM & LAKE ON SNAKE RIV",46.67,-117.43
"LIBM","KOOTENAI R BL LIBBY DAM",48.4,-115.32
"PEKI","CLEARWATER RIV NR PECK",46.5,-116.4
"IDSW","SNAKE R BL GOOSE IS BL ICE HARBOR MID CHANNEL",46.25,-118.87
"MCPW","MCNARY TEMPERATURE WATER QUALITY INST., RIGHT SIDE",45.93,-119.3
"ANQW","SNAKE R NR ANATONE (WQ)",46.1,-116.97
"ALQI","PEND OREILLE R (WQ-ID)",48.1,-116.6
"BOX","BOX CANYON DAM & RES ON PEND OREILLE R",48.78,-117.42
"LOS","LOST CR DAM",42.67,-122.68
"ALF","ALBENI FALLS DAM ON PEND OREILLE R BL LAKE",48.18,-117.03
"TDDO","THE DALLES TAILWATER WATER QUALITY SITE",45.6,-121.17
"RRH","ROCKY REACH DAM & LAKE ENTIAT ON COLUMBIA R",47.53,-120.3
"GCGW","GRAND COULEE TAILWATER WATER QUALITY (SIX MI DOWNST)",48.03,-118.97
"JDA","JOHN DAY DAM & LAKE UMATILLA ON COLUMBIA R",45.72,-120.7
"NOX","CLARK F BL NOXON RAPIDS DAM NR NOXON",47.97,-115.73
"LGS","LITTLE GOOSE DAM & LAKE BRYAN FOREBAY",46.6,-117.97
"LBQM","KOOTENAI R AT LIBBY DAM",48.4,-115.32
"LMNW","SNAKE R BL LMN DAM",46.58,-118.35
"CHJ","CHIEF JOSEPH DAM & RUFUS WOODS LAKE",48,-119.63
"MCN","MCNARY DAM & LAKE WALLULA ON COLUMBIA RIV",45.93,-119.3
"IHR","ICE HARBOR DAM",46.23,-118.87
"DWR","DWORSHAK RES NR AHSAHKA",46.52,-116.28
"HCR","HILLS CR DAM & LAKE ON MF WILLAMETTE R",43.72,-122.42
"GCL","GRAND COULEE DAM 1SW",47.95,-118.98
"BON","BONNEVILLE DAM & LAKE ON COLUMBIA R",45.63,-121.95
"DWQI","NF CLEARWATER R AT AHSAHKA",46.52,-116.3
"BNK","BANKS LAKE NR GRAND COULEE",47.63,-119.23
"LIB","LIBBY DAM & LAKE KOOCANUSA NR LIBBY",48.42,-115.32
"RRDW","ROCKY REACH TAILWATER TOTAL DIS GAS",47.53,-120.3
"ALFI","ALBENI FALLS DAM FOREBAY",48.18,-117.03
"GPR","GREEN PETER DAM",44.43,-122.53
"JHAW","JOHN DAY TAILWATER",45.72,-120.7
"MMD","MUD MTN DAM & LAKE ON WHITE R NR BUCKLEY",47.13,-121.93
"JDY","WQ FOREBAY AT JDA (REPLACES JDA FOREBAY)",45.43,-120.41
"RIGW","ROCK ISLAND TAILWATER TOTAL DIS GAS",47.33,-120.08
"WANW","DOWNSTREAM OF WANAPUM",46.87,-119.98
"CAB","CABINET GORGE DAM",48.08,-116.07
"LEWI","CLEARWATER R NR LEWISTON",46.42,-117.03
"FDRW","GRAND COULEE DAM FOREBAY WATER QUALITY",47.95,-118.97
"CGR","COUGAR DAM",44.13,-122.25
"CCIW","CASCADE ISLAND",45.38,-121.56
"TDA","THE DALLES DAM & LAKE CELILO ON COLUMBIA RIV",45.62,-121.15
"HGH","HUNGRY HORSE DAM & RES ON SF FLATHEAD RI",48.33,-114.02
"CIBW","COLUMBIA R AT INTERNATIONAL BOUNDARY USBR WATER QUAL GAGE",48.58,-117.63
